company_name,post_date,id,parent_id,comment_text,comment_date,comment_type,reaction_count
Delta,2025-02-13 09:30:00,Y29tbWVudDoxMDIxMzAxOTAwMDE4NzIyXzE2MDYyMTE4MTMzNDU5NjU=,,"Again, business and first class look great, too bad that is unobtainable unless you have tons of credit card points or are super wealthy.",2025-02-15,initial,91
Delta,2025-02-13 09:30:00,Y29tbWVudDoxMDIxMzAxOTAwMDE4NzIyXzk0NjA3NTY2NDI5Njg1OQ==,Y29tbWVudDoxMDIxMzAxOTAwMDE4NzIyXzE2MDYyMTE4MTMzNDU5NjU=,I apologise for the frustrating moment kindly check on your private message I have already sent a message kindly respond back please for further assistance.,2025-02-15,reply,6
Delta,2025-02-13 09:30:00,Y29tbWVudDoxMDIxMzAxOTAwMDE4NzIyXzk0OTMxMzY5MDI1OTQyMA==,Y29tbWVudDoxMDIxMzAxOTAwMDE4NzIyXzE2MDYyMTE4MTMzNDU5NjU=,supply and demand! Grind out that reserve card and hope for an upgrade!,2025-02-15,reply,1
Delta,2025-02-13 09:30:00,Y29tbWVudDoxMDIxMzAxOTAwMDE4NzIyXzE2MTc1NDczOTI0NjY1NTM=,Y29tbWVudDoxMDIxMzAxOTAwMDE4NzIyXzE2MDYyMTE4MTMzNDU5NjU=,I've occasionally been able to get good deals. I had to book far in advance.,2025-02-15,reply,0
Delta,2025-02-13 09:30:00,Y29tbWVudDoxMDIxMzAxOTAwMDE4NzIyXzYzNTc2NTA5NTUyMjUwNQ==,Y29tbWVudDoxMDIxMzAxOTAwMDE4NzIyXzE2MDYyMTE4MTMzNDU5NjU=,you don't have to be super wealthy to book business or delta one. I usually book my tickets well in advance. Infact I booked my flight to Barcelona last year. Got a great deal.,2025-02-15,reply,9
Delta,2025-02-13 09:30:00,Y29tbWVudDoxMDIxMzAxOTAwMDE4NzIyXzE5NjYwNDk5MjM4ODMzNjA=,Y29tbWVudDoxMDIxMzAxOTAwMDE4NzIyXzYzNTc2NTA5NTUyMjUwNQ==,what was your great deal? I'm sure that your deal is completely out of reach for most travelers.,2025-02-15,reply,2
Delta,2025-02-13 09:30:00,Y29tbWVudDoxMDIxMzAxOTAwMDE4NzIyXzkzOTA4MjM0NTAxNjY1Nw==,Y29tbWVudDoxMDIxMzAxOTAwMDE4NzIyXzE5NjYwNDk5MjM4ODMzNjA=,$2000,2025-02-15,reply,1
Delta,2025-02-13 09:30:00,Y29tbWVudDoxMDIxMzAxOTAwMDE4NzIyXzE0NDkxNzA4MTk3ODM0NTU=,Y29tbWVudDoxMDIxMzAxOTAwMDE4NzIyXzkzOTA4MjM0NTAxNjY1Nw==,"maybe 1 way it might be doable but over like 600k round trip for delta one or well over $2,000 if you use cash is definitely needing to be somewhat rich. I’ve had my card for 5 years. Have 180k miles and got the 80k bonus as well.. so it’s taken quite some time",2025-02-15,reply,1
Delta,2025-02-13 09:30:00,Y29tbWVudDoxMDIxMzAxOTAwMDE4NzIyXzYzOTg4NzQ5ODUwNzc0Ng==,Y29tbWVudDoxMDIxMzAxOTAwMDE4NzIyXzE2MDYyMTE4MTMzNDU5NjU=,there is no first on this aircraft.,2025-02-15,reply,1
Delta,2025-02-13 09:30:00,Y29tbWVudDoxMDIxMzAxOTAwMDE4NzIyXzE4ODE0NzAzMDU5NDI0MTc=,Y29tbWVudDoxMDIxMzAxOTAwMDE4NzIyXzE2MDYyMTE4MTMzNDU5NjU=,wealth has zero to do with it. Not all flights are built the same and there’s ton of deals and discounts to go around.,2025-02-15,reply,2
Delta,2025-02-13 09:30:00,Y29tbWVudDoxMDIxMzAxOTAwMDE4NzIyXzUwMTMxMDIzMjY2MDE1NQ==,Y29tbWVudDoxMDIxMzAxOTAwMDE4NzIyXzE2MDYyMTE4MTMzNDU5NjU=,totally agree with you,2025-02-15,reply,1
Delta,2025-02-13 09:30:00,Y29tbWVudDoxMDIxMzAxOTAwMDE4NzIyXzIwNzcxNjAzMTI4MDA3MDc=,Y29tbWVudDoxMDIxMzAxOTAwMDE4NzIyXzE2MDYyMTE4MTMzNDU5NjU=,"you can always go fly Southwest or Frontier. 
 What’s your problem?",2025-02-15,reply,0
Delta,2025-02-13 09:30:00,Y29tbWVudDoxMDIxMzAxOTAwMDE4NzIyXzkyNjg0Mjc4NjI3NDc4NQ==,Y29tbWVudDoxMDIxMzAxOTAwMDE4NzIyXzIwNzcxNjAzMTI4MDA3MDc=,There is no shame in Southwest!,2025-02-15,reply,0
Delta,2025-02-13 09:30:00,Y29tbWVudDoxMDIxMzAxOTAwMDE4NzIyXzUzNzQ1MDM4NTM2OTgyMg==,Y29tbWVudDoxMDIxMzAxOTAwMDE4NzIyXzkyNjg0Mjc4NjI3NDc4NQ==,"Katya Elizabeth yes Spirit. There you go. Now dry the 
 eyes and go fly equal and empowered.",2025-02-15,reply,0
